Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,1.3159839487075806,2.1256908893585207,1.4967934560775757,2.5409508514404298,2.0418331527709963,1.9953593516349792,2.0399672198295593,1.810127031803131,1.3703736925125123,2.0801528811454775,2.2636258935928346,1.0292482316493987,2.432335572242737,2.262396035194397,2.5454264545440672,1.1401702976226806,2.382559356689453,1.075463684797287,1.8178850650787353,2.4408945417404175,0.46765395045280456,0.3637103629112244,1.0809055387973785,0.9143433248996735,1.407255938053131,1.485832986831665,1.3645525908470153,1.5513904356956483,1.5535980463027954,2.653935389518738,2.562116527557373,2.3128068351745608
1,3.550036659240723,3.4753536558151246,2.919720048904419,3.2386283111572265,3.935293984413147,3.889724988937378,3.9988929891586302,4.209566516876221,2.4089862084388733,2.7301272630691527,2.245744476318359,3.3507019233703614,2.08752329826355,3.8770937538146972,3.225149793624878,3.247451548576355,3.701572847366333,3.5150693607330323,3.940674834251404,3.6832492256164553,3.4215358829498292,3.207795057296753,3.7287707471847535,3.6071592807769775,3.9537869787216184,3.924080533981323,3.939674301147461,3.993611536026001,1.389894390106201,1.4814933395385743,3.1943309450149537,2.5540942668914797
2,4.047370586395264,4.331924386024475,4.355085186958313,4.411764788627624,2.3836655592918397,1.8797341060638428,1.9777891039848328,3.564430103302002,4.571807537078858,4.428256201744079,3.7794660329818726,4.425603814125061,3.801717219352722,3.993806309700012,3.4713584280014036,3.6010372114181517,3.9790913391113283,3.343009033203125,4.068752255439758,1.5241054177284241,4.445165367126465,4.532232933044433,4.514006023406982,4.065028209686279,3.5880179405212402,3.804115614891052,4.073595943450928,4.2128938913345335,4.284424405097962,4.275772957801819,4.302070794105529,3.939599690437317
3,2.0574494004249573,3.8131005430221556,3.404071912765503,4.093367886543274,4.5821011352539065,4.006294112205506,3.9070229053497316,4.086720504760742,3.1477990484237672,2.708831615447998,3.699294023513794,3.8436002779006957,2.6899289751052855,2.681867923736572,3.3593293809890747,3.2313137292861938,4.122315702438354,4.0493138408660885,4.162161726951599,3.7993106412887574,2.197746696472168,2.8462476205825804,1.664473476409912,3.1062566614151,3.5755208778381347,3.6470236492156984,4.063112821578979,3.3881375217437744,2.924107151031494,2.6175766134262086,3.0162157917022707,2.9218103885650635
4,2.5497511506080626,1.8666854310035705,3.156124486923218,3.109201774597168,3.452056589126587,2.6716849327087404,2.089378762245178,3.3129350185394286,1.4473265385627747,3.0684564113616943,1.7084323716163636,3.2889247369766235,3.8927204513549807,3.23094943523407,4.1039506483078005,2.367472138404846,3.8850045013427734,3.586831121444702,3.8681798458099363,3.201055884361267,2.295968163013458,4.224906501770019,2.229696605205536,2.147539830207825,3.426637043952942,3.4521392440795897,3.316262617111206,2.912920813560486,3.605264129638672,3.788612470626831,4.0181107378005985,3.537159814834595
5,2.049644243717194,2.2906241750717165,3.347503252029419,3.339700241088867,2.7225365447998047,2.5760306024551394,2.8041847562789917,2.333686091899872,4.261982622146607,4.033283677101135,4.346168274879456,4.875259466171265,3.499397187232971,3.398894720077515,3.691046743392944,3.3274395847320557,2.4162458324432374,1.4540037751197814,2.3720902228355407,2.59870867729187,3.1546401166915894,3.36099835395813,3.7103650760650635,3.0000218296051027,1.4471542119979859,2.705984525680542,2.4732250928878785,2.202024314403534,2.616069207191467,3.314706816673279,2.689329857826233,3.461093726158142
6,3.6102310848236083,3.2775305938720702,3.4510320615768433,3.4241006708145143,1.3918980240821839,2.341083788871765,3.0618673276901247,2.0354269480705263,3.8317136907577516,4.1926268339157104,3.6375561952590942,4.367702555656433,2.0800543999671937,3.0084062814712524,2.8080396842956543,3.093130836486816,1.9853120565414428,2.639732699394226,2.026905918121338,1.8925417685508727,2.370958068370819,2.2194046139717103,3.001807312965393,2.870099034309387,2.3681782031059266,2.4272663593292236,1.9802323293685913,2.3725482606887818,2.0493489623069765,2.074186146259308,1.6839719915390015,2.047949583530426
7,2.301826784610748,1.8911344075202943,1.2268562865257264,1.4033874440193177,3.1992481422424315,3.9808497285842894,3.708078179359436,2.975956525802612,2.9077345323562622,3.134224991798401,1.6142282748222352,1.7897453498840332,2.659774522781372,1.3551470041275024,1.6312975597381592,1.6499659633636474,3.1281613063812257,2.529379105567932,1.8998387694358825,2.203533179759979,2.1540164804458617,2.637027826309204,2.1946657586097715,2.275583646297455,1.4922908806800843,1.7152333998680114,1.5103861641883851,1.692795226573944,3.7706953573226927,3.19759655714035,3.171245460510254,3.2536426973342896
8,2.0275229310989378,1.9984504985809326,1.8352152633666992,1.9511701560020447,2.1436991930007934,1.9935185980796815,2.067896282672882,1.935501697063446,3.493493399620056,2.8823592185974123,1.8404960489273072,3.2141535329818725,1.9852370429039001,1.9403609585762025,1.7958732485771178,1.5985418343544007,3.628945326805115,3.802288918495178,3.7937433767318725,4.185224132537842,2.7318238162994386,2.262871310710907,2.271649899482727,2.1819003033638,1.7106040573120118,1.7178276896476745,3.686250476837158,1.8653635883331299,2.569114952087402,2.168695192337036,2.3342128086090086,2.588298087120056
9,1.7431227111816405,2.1099103236198427,1.925764148235321,2.020188901424408,2.399431977272034,2.4974186635017395,2.303935182094574,2.5845632696151735,4.227843174934387,1.7930378746986388,3.5800819110870363,3.534149465560913,3.9413013076782226,1.4906858277320862,2.420200445652008,2.0137537693977356,3.5931802129745485,3.927769060134888,3.576625418663025,3.5258209705352783,2.742920274734497,2.5008936500549317,2.560949058532715,2.2357423090934754,1.4816223645210267,2.0331977438926696,2.3897535395622254,1.6435549092292785,3.5504875326156617,3.2772604846954345,3.629749298095703,3.3637816190719603
10,3.5775721359252928,5.014636507034302,4.931727600097656,4.268149352073669,3.1673657512664795,3.7698099327087404,3.4772877311706543,3.3920715999603273,3.0881693172454834,2.2056127476692198,2.3325836443901062,2.2796179175376894,2.128598554134369,2.942984127998352,2.597666447162628,2.4711765336990354,3.2281306886672976,3.462275242805481,2.627156720161438,3.05322286605835,4.770446186065674,3.8314377880096435,3.680819993019104,5.114665660858154,2.943327031135559,2.3926509165763856,3.1972886419296263,2.573766574859619,3.3646472120285034,3.627341823577881,3.5422519063949585,2.4441020631790162
11,3.169521327018738,2.2059559845924377,2.9397789335250852,2.765669164657593,2.804682583808899,2.9246811866760254,3.553755578994751,3.2510741424560545,3.0851851987838743,3.625092692375183,3.2572382879257202,3.7824452781677245,4.080296874046326,3.928815932273865,3.568172664642334,4.271506071090698,3.3431954526901246,3.031243572235107,3.5522122097015383,3.1240045022964478,3.294707598686218,2.8387419176101685,2.6197297024726867,3.0957116508483886,3.128433246612549,2.832031168937683,4.32058189868927,2.908550732135773,3.624582223892212,3.860606508255005,3.7315821933746336,3.9779237365722655
12,3.7712768507003784,4.206027460098267,2.689249701499939,3.709381093978882,3.698851408958435,3.7513828706741332,3.1672857284545897,4.187946877479553,3.893752403259277,2.981140546798706,2.3817758846282957,3.9738098859786986,4.0217412662506105,3.9739127492904665,4.097058672904968,3.8768578386306762,4.083583755493164,3.999967656135559,4.064935050010681,3.370913257598877,3.576726393699646,3.594054160118103,3.584684476852417,3.658672580718994,3.0180541324615477,2.984574112892151,3.0841294622421263,2.8469095420837403,4.413136477470398,4.008612966537475,4.371679568290711,4.158884148597718
13,4.593088564872741,4.204458756446838,4.52710268497467,4.042958464622497,4.138689708709717,2.7246402406692507,4.459698128700256,4.203370823860168,3.9718037176132204,4.281063203811645,3.291566562652588,2.9680842113494874,4.652888383865356,3.201328773498535,3.3431620454788207,3.276575412750244,3.5286900281906126,3.634083881378174,4.511081428527832,4.241309032440186,5.503015384674073,4.972004928588867,5.226686239242554,4.637363157272339,4.362621655464173,4.299971008300782,4.148798551559448,4.161707010269165,2.8764183712005615,3.6031991052627563,2.8931001138687136,2.9803451013565065
14,4.322267122268677,3.0245178890228273,4.451309103965759,4.550854439735413,3.2285588932037355,3.295736594200134,2.5217920541763306,3.6579058837890623,3.823325819969177,4.537463240623474,3.2086688804626466,4.413960847854614,4.417268934249878,3.915818018913269,4.0855358743667605,4.173140683174133,3.6341397190093994,2.3934007358551024,2.1254843211174013,2.8595875787734983,4.400391449928284,4.320758748054504,4.1147718286514285,3.8571995306015014,3.7891138076782225,3.835048460960388,3.891772608757019,2.7616657161712648,4.286557030677796,4.456553702354431,4.4866394567489625,4.316246080398559
15,2.7490140867233275,3.149066324234009,2.7911402988433838,2.8864952087402345,3.6170014715194703,3.168789601325989,2.441510877609253,3.1832022666931152,2.1740098643302916,4.1575821495056156,4.540251016616821,3.234038529396057,3.163518314361572,3.112522521018982,4.377490038871765,3.089179015159607,4.2185761880874635,4.178570880889892,3.6913873815536498,3.943626070022583,4.009284224510193,3.9305610704421996,3.787802267074585,4.125929007530212,3.693878788948059,3.7819613218307495,3.2884684896469114,3.37674861907959,3.655177230834961,4.038215765953064,3.902589120864868,4.079313707351685
