Model,Task,K,NumInd,NumImp,Overlap,Recall(%),Precision(%)
gpt2,sentiment_yelp,400,26,101,10,38.5,9.9
gpt2,sentiment_yelp,1000,26,101,10,38.5,9.9
gpt2,sentiment_yelp,2000,26,101,10,38.5,9.9
gpt2,sentiment_yelp,5000,26,101,10,38.5,9.9
gpt2,sentiment_sst2,400,24,80,2,8.3,2.5
gpt2,sentiment_sst2,1000,24,80,2,8.3,2.5
gpt2,sentiment_sst2,2000,24,80,2,8.3,2.5
gpt2,sentiment_sst2,5000,24,80,2,8.3,2.5
gpt2,qa_squad,400,24,98,14,58.3,14.3
gpt2,qa_squad,1000,24,98,14,58.3,14.3
gpt2,qa_squad,2000,24,98,14,58.3,14.3
gpt2,qa_squad,5000,24,98,14,58.3,14.3
gpt2,qa_coqa,400,24,108,19,79.2,17.6
gpt2,qa_coqa,1000,24,109,19,79.2,17.4
gpt2,qa_coqa,2000,24,109,19,79.2,17.4
gpt2,qa_coqa,5000,24,109,19,79.2,17.4
gpt2,mt_kde4,400,24,99,9,37.5,9.1
gpt2,mt_kde4,1000,24,99,9,37.5,9.1
gpt2,mt_kde4,2000,24,99,9,37.5,9.1
gpt2,mt_kde4,5000,24,99,9,37.5,9.1
gpt2,mt_tatoeba,400,24,93,8,33.3,8.6
gpt2,mt_tatoeba,1000,24,94,8,33.3,8.5
gpt2,mt_tatoeba,2000,24,94,8,33.3,8.5
gpt2,mt_tatoeba,5000,24,94,8,33.3,8.5
llama3,sentiment_yelp,400,62,152,7,11.3,4.6
llama3,sentiment_yelp,1000,62,152,7,11.3,4.6
llama3,sentiment_yelp,2000,62,152,7,11.3,4.6
llama3,sentiment_yelp,5000,62,152,7,11.3,4.6
llama3,sentiment_sst2,400,58,146,1,1.7,0.7
llama3,sentiment_sst2,1000,58,146,1,1.7,0.7
llama3,sentiment_sst2,2000,58,146,1,1.7,0.7
llama3,sentiment_sst2,5000,58,146,1,1.7,0.7
llama3,qa_squad,400,62,157,12,19.4,7.6
llama3,qa_squad,1000,62,158,12,19.4,7.6
llama3,qa_squad,2000,62,158,12,19.4,7.6
llama3,qa_squad,5000,62,158,12,19.4,7.6
llama3,qa_coqa,400,62,162,13,21.0,8.0
llama3,qa_coqa,1000,62,162,13,21.0,8.0
llama3,qa_coqa,2000,62,162,13,21.0,8.0
llama3,qa_coqa,5000,62,162,13,21.0,8.0
llama3,mt_kde4,400,64,167,13,20.3,7.8
llama3,mt_kde4,1000,64,170,13,20.3,7.6
llama3,mt_kde4,2000,64,170,13,20.3,7.6
llama3,mt_kde4,5000,64,170,13,20.3,7.6
llama3,mt_tatoeba,400,57,132,5,8.8,3.8
llama3,mt_tatoeba,1000,57,133,5,8.8,3.8
llama3,mt_tatoeba,2000,57,133,5,8.8,3.8
llama3,mt_tatoeba,5000,57,133,5,8.8,3.8
llama2,sentiment_yelp,400,53,263,4,7.5,1.5
llama2,sentiment_yelp,1000,53,263,4,7.5,1.5
llama2,sentiment_yelp,2000,53,263,4,7.5,1.5
llama2,sentiment_yelp,5000,53,263,4,7.5,1.5
llama2,sentiment_sst2,400,52,94,0,0.0,0.0
llama2,sentiment_sst2,1000,52,94,0,0.0,0.0
llama2,sentiment_sst2,2000,52,94,0,0.0,0.0
llama2,sentiment_sst2,5000,52,94,0,0.0,0.0
llama2,qa_squad,400,15,270,2,13.3,0.7
llama2,qa_squad,1000,15,272,2,13.3,0.7
llama2,qa_squad,2000,15,272,2,13.3,0.7
llama2,qa_squad,5000,15,272,2,13.3,0.7
llama2,qa_coqa,400,61,227,12,19.7,5.3
llama2,qa_coqa,1000,61,227,12,19.7,5.3
llama2,qa_coqa,2000,61,227,12,19.7,5.3
llama2,qa_coqa,5000,61,227,12,19.7,5.3
llama2,mt_kde4,400,58,166,0,0.0,0.0
llama2,mt_kde4,1000,58,166,0,0.0,0.0
llama2,mt_kde4,2000,58,166,0,0.0,0.0
llama2,mt_kde4,5000,58,166,0,0.0,0.0
llama2,mt_tatoeba,400,49,88,0,0.0,0.0
llama2,mt_tatoeba,1000,49,88,0,0.0,0.0
llama2,mt_tatoeba,2000,49,88,0,0.0,0.0
llama2,mt_tatoeba,5000,49,88,0,0.0,0.0
qwen2,sentiment_yelp,400,40,112,4,10.0,3.6
qwen2,sentiment_yelp,1000,40,112,4,10.0,3.6
qwen2,sentiment_yelp,2000,40,112,4,10.0,3.6
qwen2,sentiment_yelp,5000,40,112,4,10.0,3.6
qwen2,sentiment_sst2,400,35,83,1,2.9,1.2
qwen2,sentiment_sst2,1000,35,83,1,2.9,1.2
qwen2,sentiment_sst2,2000,35,83,1,2.9,1.2
qwen2,sentiment_sst2,5000,35,83,1,2.9,1.2
qwen2,qa_squad,400,36,97,4,11.1,4.1
qwen2,qa_squad,1000,36,97,4,11.1,4.1
qwen2,qa_squad,2000,36,97,4,11.1,4.1
qwen2,qa_squad,5000,36,97,4,11.1,4.1
qwen2,qa_coqa,400,39,110,4,10.3,3.6
qwen2,qa_coqa,1000,39,110,4,10.3,3.6
qwen2,qa_coqa,2000,39,110,4,10.3,3.6
qwen2,qa_coqa,5000,39,110,4,10.3,3.6
qwen2,mt_kde4,400,33,117,10,30.3,8.5
qwen2,mt_kde4,1000,33,117,10,30.3,8.5
qwen2,mt_kde4,2000,33,117,10,30.3,8.5
qwen2,mt_kde4,5000,33,117,10,30.3,8.5
qwen2,mt_tatoeba,400,40,75,2,5.0,2.7
qwen2,mt_tatoeba,1000,40,77,2,5.0,2.6
qwen2,mt_tatoeba,2000,40,77,2,5.0,2.6
qwen2,mt_tatoeba,5000,40,77,2,5.0,2.6
